character,name,description,ap,sp cost,prerequisite
Lune,Hell,Deals very high Fire damage that applies 5 Burn per hit to all enemies. 2 hits.; Deals self-damage if failed.; Consumes : Greatly increased damage.,9,10,Fire Rage
Lune,Ice Lance,Deals medium single target Ice damage that Slows the target. 1 hit.; Consumes to deal increased damage.,4,,
Lune,Immolation,Deals low single target Fire damage and 3 Burn. 1 hit.; Applies 2 more Burns if the target is Marked; Consumes for increased damage.,2,,
Lune,Lightning Dance,Deals very high single target Lightning damage. 6 hits.; Critical Hits trigger an additional hit.; Consumes : Greatly increased damage.,7,6,Electrify
Lune,Mayhem,Consumes all Stains to deal high elemental damage to the target.; Can Break if 4 Stains are consumed.,3,4,Electrify
Lune,Rebirth,Revives an ally with 30-70% Health and 2 additional AP; Consumes : Costs 0 AP,5,4,Healing Light
Lune,Revitalization,Heals 1-3 allies by 40-60% Health.; Consumes 3 s to also apply Regen that heals on turn start for 3 turns.,5,6,Rebirth
Lune,Rockslide,Deals medium single target Earth damage. 2 hits.; Can Break; Consumes for greatly increased damage.,5,2,Earth Rising
Lune,Sky Break,Deals extreme damage to all enemies. 1 hit.; Element depends on which Stains Lune has the most.; Can Break,,,Lune
Lune,Storm Caller,"All enemies receive medium Lightning damage at the end of their turn, and low Lightning damage when they receive damage.; Duration: 3 turns.; Consumes for double thunder strikes on turn end.",6,8,Lightning Dance
Lune,Terraquake,Deals low Earth damage and Break damage to all enemies every turn. Also increases all Break damage received by 50%.; Duration: 3 turns.; Consumes to increase the Duration to 5 turns.,5,10,Crustal Crush
Lune,Thermal Transfer,Deals low single target Ice damage. 2 hits.; Gains 4 AP if target is Burning; Consumes : Play a second turn.,2,2,Earth Rising
Lune,Thunderfall,Deals medium Lightning damage to random enemies. 2-6 hits.; Critical Hits trigger an additional hit.; Consumes for increased damage.,5,1,
Lune,Tree of Life,Cleanses all status effects and Heals all allies.,,,Reach Relationship Level 5 with Lune
Lune,Tremor,Deals high Earth damage to all enemies. 1 hit.; Removes all enemies' Shields,,,Reach Relationship Level 3 with Lune
Lune,Typhoon,"On turn start, deals high Ice damage to all enemies and Heals allies.; Consumes : Duration increased from 3 to 5 turns.",8,8,Crippling Tsunami
Lune,Wildfire,Deals medium Fire damage to all enemies. 1 hit.; Applies 3 Burn; Consumes 2 : Increased damage.,4,2,Thunderfall
Maelle,Breaking Rules,"Deals low single target Physical damage. 2 hits.; Destroys all target's Shields Gains 1 AP per Shield destroyed.; If target is Defenceless, play a second turn.",3,4,Fleuret Fury
Maelle,Burning Canvas,Deal high single target Void damage. 5 hits.; Applies 1 Burn per hit. Damage increased for each Burn on the target.,5,6,Phantom Strike
Maelle,Combustion,Deals medium single target Physical Damage. 2 hits.; Consumes up to 10 Burn for increased damage.,4,6,Rain of Fire
Maelle,Degagement,Deals low single target Fire damage. 1 hit.; Target becomes weak to Fire damage for 2 turns,2,2,Spark
Maelle,Fencer's Flurry,Deals medium damage to all enemies. 1 hit.; Uses weapon's element.; Applies Defenceless for 1 turn.,4,6,Breaking Rules
Maelle,Fleuret Fury,"Deals high single target Physical damage. 3 hits.; If in Virtuose Stance , stay in Virtuose Stance ; Can Break",6,2,Guard Up
Maelle,Gommage,Kills weak targets.; Otherwise deals extreme Void damage. 1 hit.,,,Reach Relationship Level 7 (max) with Maelle
Maelle,Guard Down,Applies Defenceless to all enemies for 3 turns.,3,4,Guard Up
Maelle,Guard Up,"Applies Shell, reducing damage taken, to up to 3 allies for 3 turns.",3,2,Swift Stride
Maelle,Gustave's Homage,Deals high single target Lightning damage. 8 hits.; Increased damage to Marked targets. Doesn't remove Mark.,8,n/a,Write in journal in Act II
Maelle,Last Chance,Reduces self-Health to 1 but refills all AP; Switches to Virtuose Stance,1,6,Mezzo Forte
Maelle,Mezzo Forte,Reapplies current stance and gives 2-4 AP,1,4,Degagement
Maelle,Momentum Strike,Deals high single target damage. 1 hit.; Uses weapon's element.; Increases damage to Marked targets.; Virtuose Stance : Costs 4 AP,7,6,Égide
Maelle,Offensive Switch,Deals low single target damage and applies Defenceless for 3 turns. 1 hit.; Uses weapon's element.,1,n/a,
Maelle,Payback,Deals very high single target Physical damage. 1 hit.; Reduced AP cost for each attack parried since last turn.; Can Break,9,8,Last Chance
Maelle,Percée,Deals medium single target Physical damage. 1 hit.; Increased damage to Marked targets.; Virtuose Stance : Costs 2 AP,5,n/a,
Maelle,Phantom Strike,Deals very high Void damage to all enemies. 4 hits.; Also gives +35% of a Gradient Charge.,7,4,Offensive Switch
Maelle,Phoenix Flame,Applies 10 Burn to all enemies and revives all allies with 50 to 70% Health.,,,Reach Relationship Level 5 with Maelle
Maelle,Pyrolyse,Deals extreme single target Fire damage. 3 hits.; Applies 5 Burn per hit.; Offensive Stance : Applies 2 more Burn per hit.,9,8,Revenge
Maelle,Rain of Fire,Deals medium single target Fire damage. 2 hits.; Applies 3 Burn per hit.; Defense Stance : applies 2 more Burn per hit.,5,4,Degagement
Maelle,Revenge,Deals high single target Fire damage. 1 hit.; Damage increased for reach hit received since the previous turn.; Can Break,5,6,Combustion
Maelle,Spark,Deals low single target Fire damage. 1 hit.; Apples 3 Burn; Offensive Stance : Applies 2 more Burn,3,n/a,
Maelle,Stendhal,Deals extreme single target Void damage. 1 hit.; Removes self-Shields and self applies Defenceless,8,4,Percée
Maelle,Swift Stride,Deals low single target Physical damage. 1 hit.; Switches to Virtuose Stance if target is Burning; Regains 0 to 2 AP,3,1,Percée
Maelle,Sword Ballet,Deals extreme single target damage. 5 hits.; Uses weapon's element.; Critical Hits deal double damage.,9,10,Fencer's Flurry
Maelle,Virtuose Strike,Deals high single target Physical damage. 5 hits.,,,Reach Relationship Level 3 with Maelle
Maelle,Égide,"Protects allies by taking damage in their place, for 2 turns.; Duration is extended by 1 on gaining Shell",3,4,Guard Up
Sciel,All Set,"Applies Shell, Powerful, and Rush to all allies.",6,6,Card Weaver
Sciel,Bad Omen,Deals low Dark damage to all enemies. 2 hits.; Applies 2 Foretell per hit.,3,4,Marking Card
Sciel,Card Weaver,Deals low single target Physical damage. 1 hit.; Propagates target's Foretell to all enemies.; Plays a second turn.,3,4,Dark Cleansing
Sciel,Dark Cleansing,Cleanses an ally of their Status Effects and propagates the target's buff to all allies.,0,2,Spectral Sweep
Sciel,Dark Wave,Deals high Dark damage to all enemies. 3 hits.; Consumes all Foretell for increased damage.,6,10,Grim Harvest
Sciel,Delaying Slash,Deals medium single target damage. 2 hits.; Uses weapon's element.; Consumes Foretell to increase damage and delay target's turn.,5,6,Bad Omen
Sciel,Doom,"Deals very high single target Dark damage. 3 hits.; Applies Powerless, Defenceless, and Slow for 3 turns.; Can Break",,,Reach Relationship Level 5 with Sciel
Sciel,End Slice,Deals extrema single target Physical damage. 1 hit.; Damage is increased for each Foretell consumed since the beginning of the battle.,,,Reach Relationship Level 7 (max) with Sciel
Sciel,Final Path,Deals extreme single target Dark damage and applies 10 Foretell 1 hit.; Can Break,9,10,Plentiful Harvest
Sciel,Firing Shadow,Deals low Dark damage to all enemies. 3 hits.; Consumes 1 Foretell per hit for increased damage.,3,2,Searing Bond
Sciel,Focused Foretell,Deals medium single target Physical damage. 1 hit.; Applies 2 Foretell ; Applies 3 additional Foretell if target has 0 Foretell,2,,
Sciel,Fortune's Fury,Target ally deals double damage for 1 turn.,5,6,Firing Shadow
Sciel,Grim Harvest,Deals medium single target Dark damage. 1 hit.; Heals all allies by 30% Health.; Consumes Foretell to increase Heal by 5% per Foretell,5,6,Sealed Fate
Sciel,Harvest,Deals medium single target damage. 1 hit. Uses weapon's element.; Heals self by 40% Health.; Consumes all Foretell to increase Heal by 5% per Foretell,3,1,Twilight Slash
Sciel,Intervention,Targeted ally plays immediately and gains 4 AP,5,6,Spectral Sweep
Sciel,Marking Card,Deals medium single target Dark damage. 2 hits.; Applies Mark to the target.; Applies 3 Foretell,3,2,Focused Foretell
Sciel,Our Sacrifice,Deals extreme Dark damage to all enemies. 1 hit.; Absorbs allies' Health and enemies' Foretell to deal increased damage.,4,8,Fortune's Fury
Sciel,Phantom Blade,Deals high single target Dark damage. 1 hit.; Consumes all Foretell to deal additional damage.; Can Break,5,2,Twilight Slash
Sciel,Plentiful Harvest,Deals medium single target Physical damage. 2 hits.; Consumes all Foretell on a target and gives 1 AP to a party member for each Foretell consumed.,4,4,Firing Shadow
Sciel,Rush,"Applies Rush to 1-3 allies, increasing their speed for 3 turns.",3,1,Focused Foretell
Sciel,Sealed Fate,Deals high single target damage. 5-7 hits. Uses weapon's element.; Each hit can consume 1 Foretell to deal 200% more damage.; Critical Hits don't remove the Foretell but still gets the damage increase.,4,4,Phantom Blade
Sciel,Searing Bond,Deals medium single target Dark damage. 1 hit.; Applies 5 Foretell ; Also deals damage and applies Foretell to every other Burning enemies.,4,2,Harvest
Sciel,Shadow Bringer,Deals high single target Dark damage to random enemies. 10 hits.; Applies 1 Foretell per hit.,,,Reach Relationship Level 3 with Sciel
Sciel,Spectral Sweep,Deals medium single target damage. 2 to 6 hits.; Uses weapon's element.; Applies 1 Foretell per hit.; Critical Hits apply an additional Foretell,7,2,Rush
Sciel,Twilight Dance,"Deals extreme single target Dark damage. 4 hits; During Twilight , extends Twilight duration by 1 turn.; Consumes all Foretell to deal additional damage.",9,10,Our Sacrifice
Sciel,Twilight Slash,Deals low single target Dark damage. 1 hit.; Consumes all Foretell to deal additional damage.,2,,
Verso,Angel's Eyes,"Deals extreme Physical Damage. 8 hits.; Gain 1 additional Perfection per hit.; Applies Aureole to Verso, reviving him if he dies.",,,Esquie
Verso,Ascending Assault,Deals low single target damage. 1 hit.; Uses weapon's element.; Increased damage at each cast.; : Costs 2 AP,5,4,Blitz
Verso,Assault Zero,Deals low single target damage. 5 hits.; Uses weapon's element.; Critical Hits generate 1 additional Perfection ; : Increased damage.,3,,_n/a_
Verso,Berserk Slash,Deals medium single target Physical damage. 3 hits.; Damage is increased for each Health Verso is missing.; : Increased damage.,4,2,Quick Strike
Verso,Blitz,Deals low single target Physical damage. 1 hit.; Plays a second time. Kills non-boss enemies with less than 10% Health.; : Increased damage.,3,2,Purification
Verso,Burden,Removes all Status Effects from all allies and applies them to Verso.; Gains 1 Rank.,1,4,Berserk Slash
Verso,Defiant Strike,Deals high single target Physical damage that applies Mark 2 hits.; Costs 30% of current Health.; : Increased damage.,3,6,Berserk Slash
Verso,End Bringer,Deals extreme single target Physical damage. 6 hits.; Increased damage if the target is Stunned; : Can reapply Stun,9,10,Light Holder
Verso,Follow Up,"Deals medium single target Light damage. 1 hit.; Damage increased for each Free Aim shot this turn, up to 10 times.; : Costs 2 AP",5,4,Purification
Verso,From Fire,Deals medium single target damage. 3 hits.; Uses weapon's element.; Heals self by 20% Health if the target Burns; : Increased damage.,4,,_n/a_
Verso,Leadership,Reduces current Rank.; Gives 2-4 AP to other allies.; : +1 more AP to other allies.,3,4,Powerful
Verso,Light Holder,"Medium single target Light damage. 5 hits.; At completion, gains 1 Rank.; : +2 AP",4,6,Radiant Slash
Verso,Marking Shot,Deals low single target damage. 1 hit.; Uses weapon's element.; Applies Mark; : Increased damage.,2,1,Assault Zero
Verso,Overload,"Increases Rank to and refills all AP, but sets self-Health to 1.",6,6,Follow Up
Verso,Paradigm Shift,Deals low Physical single target damage and gives 1-3 AP back. 3 hits.; : +1 AP,1,2,Purification
Verso,Perfect Break,Deals very high single target Light damage. 1 hit.; Can Break ; Rank on Break ; : Costs 5 AP,7,4,Blitz
Verso,Perfect Recovery,Recovers 50% Health and dispels Status Effects.; Gives 0-2 Perfection ; : Increased heal to 100% Health.,3,1,From Fire
Verso,Phantom Stars,Deals extreme Light damage to all enemies. 5 hits.; Can Break ; : Costs 5 AP,9,8,Leadership
Verso,Powerful,"Applies Powerful to 1-3 allies, increasing damage they deal for 3 turns.; Gives 0-2 Perfection ; : Duration increased to 5 turns.",3,2,Quick Strike
Verso,Purification,Deals single target medium Light damage. 2 hits.; Dispels self status effects.; : Increased damage.,5,2,Perfect Recovery
Verso,Quick Strike,Deals low single target Physical damage. 1 hit.; : Gives more Perfection,2,2,Marking Shot
Verso,Radiant Slash,Deals low Light damage to all enemies. 1 hit.; Can Break ; : Increased damage.,2,4,Blitz
Verso,Sabotage,Deals medium Physical damage to all enemies. 1 hit.; Applies Mark,,,Esquie
Verso,Speed Burst,Deals high single target Light damage. 5 hits.; Damage increased by Speed difference with the target.; : Increased damage,6,6,Overload
Verso,Steeled Strike,"After 1 turn, deals extreme single target Physical damage. 13 hits.; Interrupted if any damage taken.; : Increased damage.",9,10,Strike Storm
Verso,Strike Storm,Deals very high single target damage. 5 hits.; Uses weapon's element.; Critical Hits generate 2 additional Perfection ; : Increased damage.,7,8,Defiant Strike
Verso,Striker,Deals high single target Physical damage. 1 hit.; Can Break,,,Esquie
Monoco,Abbest Wind,Deals low single target Physical damage. 1 hit; Plays a second turn.; Agile Mask: Costs 0 AP,2,,Abbest
Monoco,Aberration Light,Deals high Light damage to all enemies. 2 hits.; Applies 4 Burn per hit.; Agile Mask: Applies 2 more Burn per hit.,7,,Aberration
Monoco,Ballet Charm,Deals low single target Light damage. 1 hit.; Applies Powerless to the target for 3 turns.; Caster Mask: Increased damage.,2,,Ballet
Monoco,Boucheclier Fortify,Applies Shell to 1-3 allies for 3 turns.; Heavy Mask: Also applies 1 Shield,3,,Boucheclier
Monoco,Braseleur Smash,Deals medium single target Fire damage and applies 3 Burn. 2 hits.; Balanced Mask: Increased damage,4,,Braseleur
Monoco,Break Point,Deals extreme single target damage. 1 hit.; Uses weapon's element.; Fills the target's Break Bar and Breaks it.,,,Monoco
Monoco,Bruler Bash,Deals medium single target Physical damage. 3 hits.; Can Break ; Caster Mask: Increased damage.,4,,Bruler
Monoco,Bénisseur Mortar,Deals medium single target Ice damage. 3 hits.; Change to Almighty Mask if target is Marked; Caster Mask: Increased damage.,5,,Bénisseur
Monoco,Chalier Combo,Deals high single target Physical damage. 6 hits.; Interrupted if failed.; Balanced Mask: Increased damage.,7,,Chalier
Monoco,Chapelier Slash,Deals high Physical damage to all enemies. 3 hits.; Applies Mark; Agile Mask: Increased damage.,7,,Chapelier
Monoco,Chevalière Ice,Deals high Ice damage to all enemies. 3 hits.; Applies Slow to the targets for 3 turns.; Balanced Mask: Increased damage.,6,,Gold Chevalière
Monoco,Chevalière Piercing,Deals single target Physical damage through Shields. 6 hits.; Damage increased for each Shield on the target.; Agile Mask: Increased damage.,3,,Ceramic Chevalière
Monoco,Chevalière Thrusts,Deals high Physical damage to all enemies. 3 hits.; Critical Hits deal double damage.; Heavy Mask: Increased damage.,7,,Steel Chevalière
Monoco,Clair Enfeeble,Deals medium Light damage to all enemies. 1 hit.; Applies Powerless for 3 turns.; Balanced Mask: Increased damage.,5,,Clair
Monoco,Contorsionniste Blast,Deals medium Physical damage to all enemies. 1 hit.; Heals all allies by 10% Health for each enemy hit.; Balanced Mask: Increased damage.,6,,Contorsionniste
Monoco,Cruler Barrier,Applies 1-2 Shields to the target.; Heavy Mask: Gives 2 AP to the target.,4,,Cruler
Monoco,Création Void,Deals extreme Void damage to random targets. 3 hits.; More damage if the same target is hit multiple times.; Caster Mask: Increased damage.,9,,Création
Monoco,Cultist Blood,Deals medium Dark damage to all enemies. 3 hits.; Heavy Mask: Increased damage.,3,,Greatsword Cultist
Monoco,Cultist Slashes,Deals medium single target Dark damage. 3 hits.; Deals more damage the less Health Monoco has.; Agile Mask: Increased damage.,5,,Reaper Cultist
Monoco,Danseuse Waltz,Deals high single target Fire damage. 3 hits.; Deals more damage against Burning targets.; Balanced Mask: Increased damage.,8,,Danseuse
Monoco,Duallist Storm,Deals extreme single target Physical damage. 4 hits.; Can Break ; Almighty Mask: Increased damage.,8,,Dualliste
Monoco,Démineur Thunder,Deals low single target Lightning damage. 1 hit.; Deals extra Break Damage ; Caster Mask: Increased Break damage.,2,,Démineur
Monoco,Gault Fury,Deals low single target Physical damage. 4 hits.; Applies Mark; Balanced Mask: Increased damage.,3,,Gault
Monoco,Glaise Earthquakes,Deals medium Earth damage to all enemies. 3 hits.; Applies Powerful to self.; Heavy Mask: applies Powerful to all allies.,4,,Glaise
Monoco,Grosse Tête Whack,Deals high single target Physical damage. 5 hits.; Applies Defenceless for 3 turns.; Heavy Mask: Increased damage.,6,,Grosse Tête
Monoco,Hexga Crush,Deals medium single target Earth damage. 2 hits.; Applies Defenceless to the target for 3 turns.; Heavy Mask: Increases Defenceless duration to 5 turns.,5,,Hexga
Monoco,Jar Lampstorm,Deals medium Physical damage to all enemies. 4 hits.; Heavy Mask: Increased damage.,5,,Jar
Monoco,Lampmaster Light,Deals high Light damage to all enemies. 1 hit.; Increased damage at each cast.; Almighty Mask: Increased damage.,5,,Lampmaster
Monoco,Lancelier Impale,Deals low single target Ice damage. 1 hit.; Slows the target for 3 turns.; Agile Mask: Increased damage.,2,,Lancelier
Monoco,Luster Slices,Deals low single target Physical damage. 3 hits.; Applies Rush to self for 3 turns.; Agile Mask: Increased damage.,3,,Luster
Monoco,Mighty Strike,Deals high single target damage. 2 hits.; Uses weapon's element.; Deals double damage if the target is Stunned; Goes to Almighty Mask .,,,Reach Relationship Level 3 with Monoco
Monoco,Moissonneuse Vendange,Deals High single target Physical damage. 3 hits.; Can Break ; Balanced Mask: Increased damage.,5,,Moissonneuse
Monoco,Obscur Sword,Deals high single target Dark damage. 5 hits.; Deals more damage against Powerless targets.; Heavy Mask: Increased damage.,6,,Obscur
Monoco,Orphelin Cheers,Applies Powerful to 1-3 allies.; Caster Mask: Also gives 3 AP to targets.,3,,Orphelin
Monoco,Portier Crash,Deals high Physical damage to all enemies. 1 hit; Can Break ; Heavy Mask: Increased damage.,8,,Portier
Monoco,Potier Energy,Gives 1-3 AP to all allies.; Caster Mask: Gives 1 additional AP,4,,Potier
Monoco,Pèlerin Heal,Applies Regen to all allies.; Caster Mask: also Heals 40% Health.,5,,Pèlerin
Monoco,Ramasseur Bonk,Deals low single target Dark damage. 1 hit.; Can Break ; Agile Mask: fills 20% of the target's Break Bar.,2,,Ramasseur
Monoco,Rocher Hammering,Deals medium single target Physical damage. 4 hits.; Can Break ; Heavy Mask: Increased damage.,3,,Rocher
Monoco,Sakapatate Estoc,Deals low single target Lightning damage. 1 hit.; Deals more damage if the target is Stunned; Balanced Mask: Increased damage.,3,,Ranger Sakapatate
Monoco,Sakapatate Explosion,Deals medium Lightning damage to random enemies. 3 hits.; Critical Hits trigger an additional hit.; Caster Mask: Increased damage.,4,,Catapult Sakapatate
Monoco,Sakapatate Fire,Deals extreme Fire to all enemies. 3 hits.; Apply 3 Burn per hit.; Almighty Mask: Increased damage.,9,,Ultimate Sakapatate
Monoco,Sakapatate Slam,Deals high Physical damage to all enemies. 1 hit.; Increased damage to Marked targets.; Heavy Mask: Increased damage.,7,,Robust Sakapatate
Monoco,Sanctuary,Gives 2 Shields and applies Regen to all allies for 3 turns.,,,Reach Relationship Level 5 with Monoco
Monoco,Sapling Absorption,Deals high Dark damage. 3 hits.; Recovers 5% Health on hit.; Caster Mask: Increased damage and double Heal,6,,Sapling
Monoco,Stalact Punches,Deals medium single target Ice damage. 4 hits.; High Break damage ; Heavy Mask: Increased damage.,4,,Stalact
Monoco,Troubadour Trumpet,Applies a random buff to 1 to 3 allies.; Caster Mask: applies a second random buff.,3,,Troubadour
Monoco,Échassier Stabs,Deals medium single target Physical damage. 2 hits.; Agile Mask: Increased damage,4,,Échassier
Monoco,Évêque Spear,Deals high single target Earth damage and applies Powerless for 3 turns. 1 hit.; Heavy Mask: Increased damage.,6,,Évêque
